iShares Russell 1000 Value ETF
Fund Holdings as of,"Oct 31, 2023"
Inception Date,"May 22, 2000"
Shares Outstanding,"318,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MMM","3M","Industrials","Equity","130,156,544.10","0.28","130,156,544.10","1,431,078.00","90.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","127,151,212.16","0.27","127,151,212.16","3,988,432.00","31.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","125,585,324.76","0.27","125,585,324.76","3,717,742.00","33.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","122,662,575.00","0.26","122,662,575.00","332,500.00","368.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","122,469,871.36","0.26","122,469,871.36","520,064.00","235.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","122,320,650.55","0.26","122,320,650.55","1,566,005.00","78.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","121,726,276.28","0.26","121,726,276.28","606,116.00","200.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","118,644,263.02","0.25","118,644,263.02","1,036,466.00","114.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","116,367,306.00","0.25","116,367,306.00","916,278.00","127.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","115,458,378.90","0.25","115,458,378.90","1,883,190.00","61.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","114,820,627.76","0.25","114,820,627.76","1,639,592.00","70.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","113,780,618.90","0.24","113,780,618.90","444,977.00","255.70","United States","NASDAQ","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","112,817,561.22","0.24","112,817,561.22","591,318.00","190.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","112,373,316.87","0.24","112,373,316.87","2,999,021.00","37.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
